file name,manual count,auto count
35_8_rd2,441,439
23_8_rr1,448,447
10rr1,448,444
15rr3,303,302
31ll2,378,376
8lu3,33,33
34_8_ld3,287,287
38lu3,188,187
33_8_ll1,373,373
36_8_rr1,360,0
40rd2,406,406
11rr1,377,377
41_8_rl1,500,499
25_4_lu3,258,258
42_8_ld3,277,277
38lr2,242,240
38_8_ll3,111,111
38_8_rr3,234,233
19rd2,481,478
37ru2,394,393
35_8_lu2,438,435
3ll3,293,291
37_8_rr2,379,0
21_4_rd3,213,213
33_8_ld1,428,428
42_8_rr3,205 ,205
34_8_lr2,409,407
3ll1,483,483
34_8_rl2,424,423
16rr1,441,432
30_4_ru2,382,381
33_8_lu1,355,0
31_8_lr2,568,568
36_8_rd1,421,418
30_4_lu3,139,137
7lr3,250,250
22_4_ll1,403,396
33_8_rd2,453,452
29_4_rr2,320,319
37_8_lr1,395,394
33_8_rl2,465,459
3lr3,113,112
24_4_rd3,274,272
38_8_rd1,440,442
8rd1,361,364
23ll3,196,195
16ld1,449,443
35lr3,316,316
33_8_ll2,421,0
11lr3,325,324
21_4_rl2,256,256
42_8_ll3,198,197
32ru1,490,490
30_4_lr2,349,349
20lu3,211,209
34ll1,332,332
24_4_lr3,259,257
33rl2,454,452
34_8_ll1,441,443
10rd1,383,375
2rl3,326,324
31ld3,274,273
8rr1,339,337
27_4_rr1,441,440
42_8_rr1,466,466
23ld3,289,294
32rl3,325,325
35_8_rr2,380,378
27_4_lu1,390,388
20lr3,148,148
4lu3,199,195
12ld1,481,487
29_4_ld2,447,443
40ll3,180,180
42_8_ll2,468,468
5lu2,394,391
33lr2,439,437
30_4_lr1,410,406
14lu2,460,458
18rl1,501,500
23_8_ld1,514,513
37rd1,397,396
4rl3,349,359
31rl2,232,239
33lu1,362,361
36lr1,93,93
37rr3,283,283
11lu3,356,356
5rr3,308,307
12lr3,147,144
31_8_ru2,638,638
35ru3,322,322
34ru2,405,401
33_8_ru2,363,362
15ld3,150,151
5lu3,304,300
22_4_ru1,483,482
19lr2,453,452
36_8_rd2,245,244
31_8_rr1,606,606
34_8_rl3,316,314
2lr2,280,268
7rl2,420,416
19rl1,484,474
3rl1,349,340
