Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,Light-U-Net_55_015,381,379,379,383,-4,4.0,-1.0554089709762533,1.0554089709762533,369,10,10.0,2.638522427440633,2.638522427440633
10ld3,Light-U-Net_55_015,239,238,238,289,-51,51.0,-21.428571428571427,21.428571428571427,273,-35,35.0,-14.705882352941178,14.705882352941178
10ll1,Light-U-Net_55_015,341,338,338,381,-43,43.0,-12.721893491124261,12.721893491124261,367,-29,29.0,-8.579881656804734,8.579881656804734
10lr2,Light-U-Net_55_015,349,346,346,377,-31,31.0,-8.959537572254336,8.959537572254336,358,-12,12.0,-3.4682080924855487,3.4682080924855487
10lr3,Light-U-Net_55_015,183,182,182,273,-91,91.0,-50.0,50.0,262,-80,80.0,-43.956043956043956,43.956043956043956
10lu1,Light-U-Net_55_015,380,377,377,397,-20,20.0,-5.305039787798409,5.305039787798409,379,-2,2.0,-0.5305039787798408,0.5305039787798408
10lu2,Light-U-Net_55_015,392,387,387,393,-6,6.0,-1.550387596899225,1.550387596899225,370,17,17.0,4.3927648578811365,4.3927648578811365
10lu3,Light-U-Net_55_015,171,170,170,314,-144,144.0,-84.70588235294117,84.70588235294117,289,-119,119.0,-70.0,70.0
10rd2,Light-U-Net_55_015,419,417,417,395,22,22.0,5.275779376498801,5.275779376498801,373,44,44.0,10.551558752997602,10.551558752997602
10rl1,Light-U-Net_55_015,417,416,416,391,25,25.0,6.009615384615385,6.009615384615385,375,41,41.0,9.85576923076923,9.85576923076923
10rl2,Light-U-Net_55_015,373,371,371,346,25,25.0,6.738544474393531,6.738544474393531,326,45,45.0,12.129380053908356,12.129380053908356
10rr1,Light-U-Net_55_015,448,444,444,414,30,30.0,6.756756756756757,6.756756756756757,396,48,48.0,10.81081081081081,10.81081081081081
10rr2,Light-U-Net_55_015,237,235,235,257,-22,22.0,-9.361702127659575,9.361702127659575,246,-11,11.0,-4.680851063829787,4.680851063829787
10rr3,Light-U-Net_55_015,175,176,176,199,-23,23.0,-13.068181818181818,13.068181818181818,189,-13,13.0,-7.386363636363637,7.386363636363637
10ru1,Light-U-Net_55_015,386,384,384,405,-21,21.0,-5.46875,5.46875,388,-4,4.0,-1.0416666666666665,1.0416666666666665
10ru2,Light-U-Net_55_015,416,413,413,434,-21,21.0,-5.084745762711865,5.084745762711865,410,3,3.0,0.7263922518159807,0.7263922518159807
10ru3,Light-U-Net_55_015,201,201,201,224,-23,23.0,-11.442786069651742,11.442786069651742,221,-20,20.0,-9.950248756218906,9.950248756218906
11ld1,Light-U-Net_55_015,479,477,477,464,13,13.0,2.7253668763102725,2.7253668763102725,426,51,51.0,10.69182389937107,10.69182389937107
11ld2,Light-U-Net_55_015,320,319,319,328,-9,9.0,-2.8213166144200628,2.8213166144200628,311,8,8.0,2.507836990595611,2.507836990595611
11ll1,Light-U-Net_55_015,473,465,465,472,-7,7.0,-1.5053763440860215,1.5053763440860215,442,23,23.0,4.946236559139785,4.946236559139785
11ll2,Light-U-Net_55_015,272,272,272,292,-20,20.0,-7.352941176470589,7.352941176470589,277,-5,5.0,-1.8382352941176472,1.8382352941176472
11ll3,Light-U-Net_55_015,165,165,165,190,-25,25.0,-15.151515151515152,15.151515151515152,177,-12,12.0,-7.2727272727272725,7.2727272727272725
11lr2,Light-U-Net_55_015,510,505,506,438,68,68.0,13.438735177865613,13.438735177865613,422,84,84.0,16.600790513833992,16.600790513833992
11lu1,Light-U-Net_55_015,412,409,409,381,28,28.0,6.845965770171149,6.845965770171149,369,40,40.0,9.7799511002445,9.7799511002445
11lu2,Light-U-Net_55_015,447,445,445,422,23,23.0,5.168539325842696,5.168539325842696,400,45,45.0,10.112359550561797,10.112359550561797
11lu3,Light-U-Net_55_015,356,356,356,350,6,6.0,1.6853932584269662,1.6853932584269662,335,21,21.0,5.8988764044943816,5.8988764044943816
11rd1,Light-U-Net_55_015,487,481,481,431,50,50.0,10.395010395010395,10.395010395010395,408,73,73.0,15.176715176715177,15.176715176715177
11rd3,Light-U-Net_55_015,158,158,158,201,-43,43.0,-27.21518987341772,27.21518987341772,188,-30,30.0,-18.9873417721519,18.9873417721519
11rl1,Light-U-Net_55_015,473,468,468,425,43,43.0,9.18803418803419,9.18803418803419,402,66,66.0,14.102564102564102,14.102564102564102
11rl3,Light-U-Net_55_015,267,265,265,270,-5,5.0,-1.8867924528301887,1.8867924528301887,253,12,12.0,4.528301886792453,4.528301886792453
11rr1,Light-U-Net_55_015,377,377,377,313,64,64.0,16.976127320954905,16.976127320954905,303,74,74.0,19.628647214854112,19.628647214854112
11rr2,Light-U-Net_55_015,373,368,367,356,11,11.0,2.997275204359673,2.997275204359673,335,32,32.0,8.71934604904632,8.71934604904632
11ru1,Light-U-Net_55_015,375,374,374,345,29,29.0,7.754010695187167,7.754010695187167,331,43,43.0,11.497326203208557,11.497326203208557
11ru2,Light-U-Net_55_015,420,415,415,354,61,61.0,14.698795180722893,14.698795180722893,332,83,83.0,20.0,20.0
11ru3,Light-U-Net_55_015,366,360,360,369,-9,9.0,-2.5,2.5,348,12,12.0,3.3333333333333335,3.3333333333333335
12ld2,Light-U-Net_55_015,413,409,409,416,-7,7.0,-1.7114914425427872,1.7114914425427872,389,20,20.0,4.88997555012225,4.88997555012225
12ll1,Light-U-Net_55_015,445,445,445,416,29,29.0,6.51685393258427,6.51685393258427,393,52,52.0,11.685393258426966,11.685393258426966
12ll2,Light-U-Net_55_015,506,500,500,444,56,56.0,11.200000000000001,11.200000000000001,416,84,84.0,16.8,16.8
12lr1,Light-U-Net_55_015,328,326,326,336,-10,10.0,-3.067484662576687,3.067484662576687,321,5,5.0,1.5337423312883436,1.5337423312883436
12lr2,Light-U-Net_55_015,258,257,257,262,-5,5.0,-1.9455252918287937,1.9455252918287937,250,7,7.0,2.7237354085603114,2.7237354085603114
12lr3,Light-U-Net_55_015,147,144,144,172,-28,28.0,-19.444444444444446,19.444444444444446,157,-13,13.0,-9.027777777777777,9.027777777777777
12lu1,Light-U-Net_55_015,545,543,543,465,78,78.0,14.3646408839779,14.3646408839779,433,110,110.0,20.257826887661142,20.257826887661142
12lu3,Light-U-Net_55_015,129,129,129,143,-14,14.0,-10.852713178294573,10.852713178294573,141,-12,12.0,-9.30232558139535,9.30232558139535
12rl2,Light-U-Net_55_015,403,401,401,378,23,23.0,5.7356608478802995,5.7356608478802995,360,41,41.0,10.224438902743142,10.224438902743142
12rr1,Light-U-Net_55_015,382,381,381,382,-1,1.0,-0.26246719160104987,0.26246719160104987,361,20,20.0,5.2493438320209975,5.2493438320209975
12rr2,Light-U-Net_55_015,401,398,398,390,8,8.0,2.0100502512562812,2.0100502512562812,381,17,17.0,4.271356783919598,4.271356783919598
12rr3,Light-U-Net_55_015,329,329,329,351,-22,22.0,-6.68693009118541,6.68693009118541,339,-10,10.0,-3.0395136778115504,3.0395136778115504
12ru2,Light-U-Net_55_015,338,340,340,344,-4,4.0,-1.1764705882352942,1.1764705882352942,327,13,13.0,3.823529411764706,3.823529411764706
12ru3,Light-U-Net_55_015,182,181,181,203,-22,22.0,-12.154696132596685,12.154696132596685,191,-10,10.0,-5.524861878453039,5.524861878453039
13ld3,Light-U-Net_55_015,228,228,228,231,-3,3.0,-1.3157894736842104,1.3157894736842104,226,2,2.0,0.8771929824561403,0.8771929824561403
13ll1,Light-U-Net_55_015,382,383,383,380,3,3.0,0.7832898172323759,0.7832898172323759,365,18,18.0,4.699738903394255,4.699738903394255
13ll3,Light-U-Net_55_015,175,175,175,204,-29,29.0,-16.57142857142857,16.57142857142857,189,-14,14.0,-8.0,8.0
13lr1,Light-U-Net_55_015,410,409,409,405,4,4.0,0.9779951100244498,0.9779951100244498,373,36,36.0,8.80195599022005,8.80195599022005
13lr2,Light-U-Net_55_015,224,223,223,238,-15,15.0,-6.726457399103139,6.726457399103139,233,-10,10.0,-4.484304932735426,4.484304932735426
13lu1,Light-U-Net_55_015,368,365,365,356,9,9.0,2.4657534246575343,2.4657534246575343,336,29,29.0,7.9452054794520555,7.9452054794520555
13rd1,Light-U-Net_55_015,413,410,410,412,-2,2.0,-0.4878048780487805,0.4878048780487805,383,27,27.0,6.585365853658537,6.585365853658537
13rl2,Light-U-Net_55_015,214,212,212,238,-26,26.0,-12.264150943396226,12.264150943396226,227,-15,15.0,-7.0754716981132075,7.0754716981132075
13rl3,Light-U-Net_55_015,168,166,166,198,-32,32.0,-19.27710843373494,19.27710843373494,188,-22,22.0,-13.253012048192772,13.253012048192772
13rr1,Light-U-Net_55_015,378,374,374,370,4,4.0,1.06951871657754,1.06951871657754,354,20,20.0,5.347593582887701,5.347593582887701
13rr2,Light-U-Net_55_015,335,333,333,353,-20,20.0,-6.006006006006006,6.006006006006006,340,-7,7.0,-2.1021021021021022,2.1021021021021022
13ru1,Light-U-Net_55_015,391,390,390,401,-11,11.0,-2.8205128205128207,2.8205128205128207,379,11,11.0,2.8205128205128207,2.8205128205128207
14ll1,Light-U-Net_55_015,474,471,471,406,65,65.0,13.800424628450106,13.800424628450106,388,83,83.0,17.62208067940552,17.62208067940552
14lr2,Light-U-Net_55_015,267,265,265,291,-26,26.0,-9.811320754716983,9.811320754716983,275,-10,10.0,-3.7735849056603774,3.7735849056603774
14lu2,Light-U-Net_55_015,460,458,458,433,25,25.0,5.458515283842795,5.458515283842795,404,54,54.0,11.790393013100436,11.790393013100436
14lu3,Light-U-Net_55_015,247,247,247,292,-45,45.0,-18.218623481781375,18.218623481781375,267,-20,20.0,-8.097165991902834,8.097165991902834
14rd3,Light-U-Net_55_015,356,350,350,350,0,0.0,0.0,0.0,334,16,16.0,4.571428571428571,4.571428571428571
14rl2,Light-U-Net_55_015,475,471,471,458,13,13.0,2.7600849256900215,2.7600849256900215,436,35,35.0,7.43099787685775,7.43099787685775
