Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,Light-U-Net,381,379,379,381,-2,2.0,-0.5277044854881267,0.5277044854881267,367,12,12.0,3.16622691292876,3.16622691292876
10ld3,Light-U-Net,239,238,238,287,-49,49.0,-20.588235294117645,20.588235294117645,271,-33,33.0,-13.865546218487395,13.865546218487395
10ll1,Light-U-Net,341,338,338,371,-33,33.0,-9.763313609467456,9.763313609467456,358,-20,20.0,-5.9171597633136095,5.9171597633136095
10lr2,Light-U-Net,349,346,346,369,-23,23.0,-6.6473988439306355,6.6473988439306355,350,-4,4.0,-1.1560693641618496,1.1560693641618496
10lr3,Light-U-Net,183,182,182,259,-77,77.0,-42.30769230769231,42.30769230769231,249,-67,67.0,-36.81318681318682,36.81318681318682
10lu1,Light-U-Net,380,377,377,393,-16,16.0,-4.244031830238726,4.244031830238726,375,2,2.0,0.5305039787798408,0.5305039787798408
10lu2,Light-U-Net,392,387,387,390,-3,3.0,-0.7751937984496124,0.7751937984496124,367,20,20.0,5.167958656330749,5.167958656330749
10lu3,Light-U-Net,171,170,170,295,-125,125.0,-73.52941176470588,73.52941176470588,272,-102,102.0,-60.0,60.0
10rd2,Light-U-Net,419,417,417,393,24,24.0,5.755395683453238,5.755395683453238,371,46,46.0,11.031175059952037,11.031175059952037
10rl1,Light-U-Net,417,416,416,386,30,30.0,7.211538461538461,7.211538461538461,370,46,46.0,11.057692307692307,11.057692307692307
10rl2,Light-U-Net,373,371,371,342,29,29.0,7.816711590296496,7.816711590296496,322,49,49.0,13.20754716981132,13.20754716981132
10rr1,Light-U-Net,448,444,444,413,31,31.0,6.981981981981981,6.981981981981981,395,49,49.0,11.036036036036036,11.036036036036036
10rr2,Light-U-Net,237,235,235,253,-18,18.0,-7.659574468085106,7.659574468085106,242,-7,7.0,-2.9787234042553195,2.9787234042553195
10rr3,Light-U-Net,175,176,176,198,-22,22.0,-12.5,12.5,188,-12,12.0,-6.8181818181818175,6.8181818181818175
10ru1,Light-U-Net,386,384,384,399,-15,15.0,-3.90625,3.90625,383,1,1.0,0.26041666666666663,0.26041666666666663
10ru2,Light-U-Net,416,413,413,432,-19,19.0,-4.600484261501211,4.600484261501211,408,5,5.0,1.2106537530266344,1.2106537530266344
10ru3,Light-U-Net,201,201,201,222,-21,21.0,-10.44776119402985,10.44776119402985,219,-18,18.0,-8.955223880597014,8.955223880597014
11ld1,Light-U-Net,479,477,477,459,18,18.0,3.7735849056603774,3.7735849056603774,421,56,56.0,11.740041928721174,11.740041928721174
11ld2,Light-U-Net,320,319,319,326,-7,7.0,-2.19435736677116,2.19435736677116,309,10,10.0,3.1347962382445136,3.1347962382445136
