Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,U-Net_55_2,381,379,379,334,45,45.0,11.87335092348285,11.87335092348285,331,48,48.0,12.66490765171504,12.66490765171504
10ld3,U-Net_55_2,239,238,238,266,-28,28.0,-11.76470588235294,11.76470588235294,257,-19,19.0,-7.9831932773109235,7.9831932773109235
10ll1,U-Net_55_2,341,338,338,326,12,12.0,3.5502958579881656,3.5502958579881656,323,15,15.0,4.437869822485207,4.437869822485207
10lr2,U-Net_55_2,349,346,346,315,31,31.0,8.959537572254336,8.959537572254336,307,39,39.0,11.271676300578035,11.271676300578035
10lr3,U-Net_55_2,183,182,182,224,-42,42.0,-23.076923076923077,23.076923076923077,215,-33,33.0,-18.13186813186813,18.13186813186813
10lu1,U-Net_55_2,380,377,377,340,37,37.0,9.814323607427056,9.814323607427056,337,40,40.0,10.610079575596817,10.610079575596817
10lu2,U-Net_55_2,392,387,387,339,48,48.0,12.4031007751938,12.4031007751938,332,55,55.0,14.21188630490956,14.21188630490956
10lu3,U-Net_55_2,171,170,170,234,-64,64.0,-37.64705882352941,37.64705882352941,222,-52,52.0,-30.58823529411765,30.58823529411765
10rd2,U-Net_55_2,419,417,417,349,68,68.0,16.30695443645084,16.30695443645084,343,74,74.0,17.74580335731415,17.74580335731415
10rl1,U-Net_55_2,417,416,416,352,64,64.0,15.384615384615385,15.384615384615385,344,72,72.0,17.307692307692307,17.307692307692307
10rl2,U-Net_55_2,373,371,371,0,371,371.0,100.0,100.0,0,371,371.0,100.0,100.0
10rr1,U-Net_55_2,448,444,444,353,91,91.0,20.495495495495494,20.495495495495494,349,95,95.0,21.396396396396398,21.396396396396398
10rr2,U-Net_55_2,237,235,235,0,235,235.0,100.0,100.0,0,235,235.0,100.0,100.0
10rr3,U-Net_55_2,175,176,176,189,-13,13.0,-7.386363636363637,7.386363636363637,179,-3,3.0,-1.7045454545454544,1.7045454545454544
10ru1,U-Net_55_2,386,384,384,346,38,38.0,9.895833333333332,9.895833333333332,342,42,42.0,10.9375,10.9375
10ru2,U-Net_55_2,416,413,413,0,413,413.0,100.0,100.0,0,413,413.0,100.0,100.0
10ru3,U-Net_55_2,201,201,201,215,-14,14.0,-6.965174129353234,6.965174129353234,204,-3,3.0,-1.4925373134328357,1.4925373134328357
11ld1,U-Net_55_2,479,477,477,372,105,105.0,22.0125786163522,22.0125786163522,369,108,108.0,22.641509433962266,22.641509433962266
11ld2,U-Net_55_2,320,319,319,308,11,11.0,3.4482758620689653,3.4482758620689653,300,19,19.0,5.956112852664576,5.956112852664576
11ll1,U-Net_55_2,473,465,465,384,81,81.0,17.419354838709676,17.419354838709676,377,88,88.0,18.9247311827957,18.9247311827957
11ll2,U-Net_55_2,272,272,272,276,-4,4.0,-1.4705882352941175,1.4705882352941175,267,5,5.0,1.8382352941176472,1.8382352941176472
11ll3,U-Net_55_2,165,165,165,180,-15,15.0,-9.090909090909092,9.090909090909092,175,-10,10.0,-6.0606060606060606,6.0606060606060606
11lr2,U-Net_55_2,510,505,506,378,128,128.0,25.296442687747035,25.296442687747035,375,131,131.0,25.889328063241106,25.889328063241106
11lu1,U-Net_55_2,412,409,409,364,45,45.0,11.00244498777506,11.00244498777506,358,51,51.0,12.469437652811736,12.469437652811736
11lu2,U-Net_55_2,447,445,445,375,70,70.0,15.730337078651685,15.730337078651685,365,80,80.0,17.97752808988764,17.97752808988764
11lu3,U-Net_55_2,356,356,356,319,37,37.0,10.393258426966293,10.393258426966293,314,42,42.0,11.797752808988763,11.797752808988763
11rd1,U-Net_55_2,487,481,481,363,118,118.0,24.532224532224532,24.532224532224532,359,122,122.0,25.363825363825367,25.363825363825367
11rd3,U-Net_55_2,158,158,158,191,-33,33.0,-20.88607594936709,20.88607594936709,179,-21,21.0,-13.291139240506327,13.291139240506327
11rl1,U-Net_55_2,473,468,468,374,94,94.0,20.085470085470085,20.085470085470085,367,101,101.0,21.581196581196583,21.581196581196583
11rl3,U-Net_55_2,267,265,265,259,6,6.0,2.2641509433962264,2.2641509433962264,253,12,12.0,4.528301886792453,4.528301886792453
11rr1,U-Net_55_2,377,377,377,286,91,91.0,24.137931034482758,24.137931034482758,282,95,95.0,25.198938992042443,25.198938992042443
11rr2,U-Net_55_2,373,368,367,330,37,37.0,10.08174386920981,10.08174386920981,326,41,41.0,11.1716621253406,11.1716621253406
11ru1,U-Net_55_2,375,374,374,304,70,70.0,18.71657754010695,18.71657754010695,298,76,76.0,20.32085561497326,20.32085561497326
11ru2,U-Net_55_2,420,415,415,314,101,101.0,24.337349397590362,24.337349397590362,310,105,105.0,25.301204819277107,25.301204819277107
11ru3,U-Net_55_2,366,360,360,338,22,22.0,6.111111111111111,6.111111111111111,329,31,31.0,8.61111111111111,8.61111111111111
12ld2,U-Net_55_2,413,409,409,357,52,52.0,12.71393643031785,12.71393643031785,349,60,60.0,14.66992665036675,14.66992665036675
12ll1,U-Net_55_2,445,445,445,347,98,98.0,22.02247191011236,22.02247191011236,346,99,99.0,22.247191011235955,22.247191011235955
12ll2,U-Net_55_2,506,500,500,377,123,123.0,24.6,24.6,367,133,133.0,26.6,26.6
12lr1,U-Net_55_2,328,326,326,306,20,20.0,6.134969325153374,6.134969325153374,298,28,28.0,8.588957055214724,8.588957055214724
12lr2,U-Net_55_2,258,257,257,262,-5,5.0,-1.9455252918287937,1.9455252918287937,256,1,1.0,0.38910505836575876,0.38910505836575876
12lr3,U-Net_55_2,147,144,144,166,-22,22.0,-15.277777777777779,15.277777777777779,155,-11,11.0,-7.638888888888889,7.638888888888889
