Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,U-Net,381,379,379,383,-4,4.0,-1.0554089709762533,1.0554089709762533,377,2,2.0,0.5277044854881267,0.5277044854881267
10ld3,U-Net,239,238,238,283,-45,45.0,-18.907563025210084,18.907563025210084,270,-32,32.0,-13.445378151260504,13.445378151260504
10ll1,U-Net,341,338,338,372,-34,34.0,-10.059171597633137,10.059171597633137,365,-27,27.0,-7.988165680473373,7.988165680473373
10lr2,U-Net,349,346,346,361,-15,15.0,-4.335260115606936,4.335260115606936,352,-6,6.0,-1.7341040462427744,1.7341040462427744
10lr3,U-Net,183,182,182,241,-59,59.0,-32.417582417582416,32.417582417582416,228,-46,46.0,-25.274725274725274,25.274725274725274
10lu1,U-Net,380,377,377,376,1,1.0,0.2652519893899204,0.2652519893899204,370,7,7.0,1.8567639257294428,1.8567639257294428
10lu2,U-Net,392,387,387,377,10,10.0,2.5839793281653747,2.5839793281653747,367,20,20.0,5.167958656330749,5.167958656330749
10lu3,U-Net,171,170,170,253,-83,83.0,-48.8235294117647,48.8235294117647,239,-69,69.0,-40.588235294117645,40.588235294117645
10rd2,U-Net,419,417,417,395,22,22.0,5.275779376498801,5.275779376498801,386,31,31.0,7.434052757793765,7.434052757793765
10rl1,U-Net,417,416,416,402,14,14.0,3.3653846153846154,3.3653846153846154,389,27,27.0,6.490384615384616,6.490384615384616
10rl2,U-Net,373,371,371,0,371,371.0,100.0,100.0,0,371,371.0,100.0,100.0
10rr1,U-Net,448,444,444,408,36,36.0,8.108108108108109,8.108108108108109,394,50,50.0,11.26126126126126,11.26126126126126
10rr2,U-Net,237,235,235,0,235,235.0,100.0,100.0,0,235,235.0,100.0,100.0
10rr3,U-Net,175,176,176,202,-26,26.0,-14.772727272727273,14.772727272727273,191,-15,15.0,-8.522727272727272,8.522727272727272
10ru1,U-Net,386,384,384,383,1,1.0,0.26041666666666663,0.26041666666666663,375,9,9.0,2.34375,2.34375
10ru2,U-Net,416,413,413,0,413,413.0,100.0,100.0,0,413,413.0,100.0,100.0
10ru3,U-Net,201,201,201,224,-23,23.0,-11.442786069651742,11.442786069651742,213,-12,12.0,-5.970149253731343,5.970149253731343
11ld1,U-Net,479,477,477,452,25,25.0,5.2410901467505235,5.2410901467505235,444,33,33.0,6.918238993710692,6.918238993710692
11ld2,U-Net,320,319,319,327,-8,8.0,-2.507836990595611,2.507836990595611,318,1,1.0,0.3134796238244514,0.3134796238244514
11ll1,U-Net,473,465,465,458,7,7.0,1.5053763440860215,1.5053763440860215,443,22,22.0,4.731182795698925,4.731182795698925
11ll2,U-Net,272,272,272,291,-19,19.0,-6.985294117647059,6.985294117647059,277,-5,5.0,-1.8382352941176472,1.8382352941176472
11ll3,U-Net,165,165,165,181,-16,16.0,-9.696969696969697,9.696969696969697,176,-11,11.0,-6.666666666666667,6.666666666666667
11lr2,U-Net,510,505,506,432,74,74.0,14.624505928853754,14.624505928853754,426,80,80.0,15.810276679841898,15.810276679841898
11lu1,U-Net,412,409,409,400,9,9.0,2.2004889975550124,2.2004889975550124,389,20,20.0,4.88997555012225,4.88997555012225
11lu2,U-Net,447,445,445,424,21,21.0,4.719101123595506,4.719101123595506,409,36,36.0,8.089887640449438,8.089887640449438
11lu3,U-Net,356,356,356,355,1,1.0,0.2808988764044944,0.2808988764044944,346,10,10.0,2.8089887640449436,2.8089887640449436
11rd1,U-Net,487,481,481,436,45,45.0,9.355509355509357,9.355509355509357,427,54,54.0,11.226611226611228,11.226611226611228
11rd3,U-Net,158,158,158,197,-39,39.0,-24.68354430379747,24.68354430379747,184,-26,26.0,-16.455696202531644,16.455696202531644
11rl1,U-Net,473,468,468,415,53,53.0,11.324786324786325,11.324786324786325,404,64,64.0,13.675213675213676,13.675213675213676
11rl3,U-Net,267,265,265,270,-5,5.0,-1.8867924528301887,1.8867924528301887,263,2,2.0,0.7547169811320755,0.7547169811320755
11rr1,U-Net,377,377,377,302,75,75.0,19.893899204244033,19.893899204244033,297,80,80.0,21.220159151193634,21.220159151193634
11rr2,U-Net,373,368,367,353,14,14.0,3.8147138964577656,3.8147138964577656,347,20,20.0,5.449591280653951,5.449591280653951
11ru1,U-Net,375,374,374,345,29,29.0,7.754010695187167,7.754010695187167,337,37,37.0,9.893048128342247,9.893048128342247
11ru2,U-Net,420,415,415,359,56,56.0,13.493975903614459,13.493975903614459,349,66,66.0,15.903614457831324,15.903614457831324
11ru3,U-Net,366,360,360,364,-4,4.0,-1.1111111111111112,1.1111111111111112,352,8,8.0,2.2222222222222223,2.2222222222222223
12ld2,U-Net,413,409,409,408,1,1.0,0.24449877750611246,0.24449877750611246,396,13,13.0,3.1784841075794623,3.1784841075794623
12ll1,U-Net,445,445,445,402,43,43.0,9.662921348314606,9.662921348314606,397,48,48.0,10.786516853932584,10.786516853932584
12ll2,U-Net,506,500,500,427,73,73.0,14.6,14.6,409,91,91.0,18.2,18.2
12lr1,U-Net,328,326,326,327,-1,1.0,-0.3067484662576687,0.3067484662576687,317,9,9.0,2.7607361963190185,2.7607361963190185
12lr2,U-Net,258,257,257,272,-15,15.0,-5.836575875486381,5.836575875486381,264,-7,7.0,-2.7237354085603114,2.7237354085603114
12lr3,U-Net,147,144,144,169,-25,25.0,-17.36111111111111,17.36111111111111,157,-13,13.0,-9.027777777777777,9.027777777777777
12lu1,U-Net,545,543,543,460,83,83.0,15.285451197053407,15.285451197053407,445,98,98.0,18.047882136279927,18.047882136279927
12lu3,U-Net,129,129,129,143,-14,14.0,-10.852713178294573,10.852713178294573,135,-6,6.0,-4.651162790697675,4.651162790697675
12rl2,U-Net,403,401,401,378,23,23.0,5.7356608478802995,5.7356608478802995,369,32,32.0,7.98004987531172,7.98004987531172
12rr1,U-Net,382,381,381,379,2,2.0,0.5249343832020997,0.5249343832020997,366,15,15.0,3.937007874015748,3.937007874015748
12rr2,U-Net,401,398,398,389,9,9.0,2.261306532663317,2.261306532663317,378,20,20.0,5.025125628140704,5.025125628140704
12rr3,U-Net,329,329,329,329,0,0.0,0.0,0.0,323,6,6.0,1.82370820668693,1.82370820668693
12ru2,U-Net,338,340,340,328,12,12.0,3.5294117647058822,3.5294117647058822,316,24,24.0,7.0588235294117645,7.0588235294117645
