Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,U-Net_55_05  xgb [1],381,379,379,402,-23,23,-6.068601583,6.068601583,394,-15,15,-3.957783641,3.957783641
10ld3,Light-U-Net_55_1  xgb [2],239,238,238,274,-36,36,-15.12605042,15.12605042,258,-20,20,-8.403361345,8.403361345
10ll1,U-Net_55_05  xgb [1],341,338,338,404,-66,66,-19.52662722,19.52662722,393,-55,55,-16.27218935,16.27218935
10lr2,U-Net_55_05  xgb [1],349,346,346,384,-38,38,-10.98265896,10.98265896,374,-28,28,-8.092485549,8.092485549
10lr3,Light-U-Net_55_1  xgb [2],183,182,182,242,-60,60,-32.96703297,32.96703297,232,-50,50,-27.47252747,27.47252747
10lu1,U-Net_55_05  xgb [1],380,377,377,410,-33,33,-8.75331565,8.75331565,400,-23,23,-6.100795756,6.100795756
10lu2,U-Net_55_05  xgb [1],392,387,387,399,-12,12,-3.100775194,3.100775194,389,-2,2,-0.516795866,0.516795866
10lu3,Light-U-Net_55_1  xgb [2],171,170,170,272,-102,102,-60,60,252,-82,82,-48.23529412,48.23529412
10rd2,U-Net_55_05  xgb [0],419,417,417,412,5,5,1.199040767,1.199040767,402,15,15,3.597122302,3.597122302
10rl1,U-Net_55_05  xgb [0],417,416,416,428,-12,12,-2.884615385,2.884615385,413,3,3,0.721153846,0.721153846
10rl2,Light-U-Net_55_1  xgb [1],373,371,371,332,39,39,10.51212938,10.51212938,312,59,59,15.90296496,15.90296496
10rr1,U-Net_55_05  xgb [0],448,444,444,438,6,6,1.351351351,1.351351351,421,23,23,5.18018018,5.18018018
10rr2,Light-U-Net_55_1  xgb [2],237,235,235,251,-16,16,-6.808510638,6.808510638,240,-5,5,-2.127659574,2.127659574
10rr3,Light-U-Net_55_1  xgb [2],175,176,176,194,-18,18,-10.22727273,10.22727273,184,-8,8,-4.545454545,4.545454545
10ru1,U-Net_55_05  xgb [1],386,384,384,413,-29,29,-7.552083333,7.552083333,402,-18,18,-4.6875,4.6875
10ru2,Light-U-Net_55_1  xgb [0],416,413,413,408,5,5,1.210653753,1.210653753,385,28,28,6.779661017,6.779661017
10ru3,Light-U-Net_55_1  xgb [2],201,201,201,216,-15,15,-7.462686567,7.462686567,213,-12,12,-5.970149254,5.970149254
11ld1,U-Net_55_05  xgb [0],479,477,477,484,-7,7,-1.467505241,1.467505241,473,4,4,0.838574423,0.838574423
11ld2,U-Net_55_05  xgb [1],320,319,319,332,-13,13,-4.07523511,4.07523511,323,-4,4,-1.253918495,1.253918495
11ll1,U-Net_55_05  xgb [0],473,465,465,488,-23,23,-4.946236559,4.946236559,470,-5,5,-1.075268817,1.075268817
11ll2,Light-U-Net_55_1  xgb [2],272,272,272,282,-10,10,-3.676470588,3.676470588,267,5,5,1.838235294,1.838235294
11ll3,Light-U-Net_55_1  xgb [2],165,165,165,180,-15,15,-9.090909091,9.090909091,167,-2,2,-1.212121212,1.212121212
11lr2,U-Net_55_05  xgb [0],510,505,506,459,47,47,9.288537549,9.288537549,450,56,56,11.06719368,11.06719368
11lu1,U-Net_55_05  xgb [0],412,409,409,416,-7,7,-1.711491443,1.711491443,405,4,4,0.97799511,0.97799511
11lu2,U-Net_55_05  xgb [0],447,445,445,456,-11,11,-2.471910112,2.471910112,438,7,7,1.573033708,1.573033708
11lu3,U-Net_55_05  xgb [1],356,356,356,367,-11,11,-3.08988764,3.08988764,356,0,0,0,0
11rd1,U-Net_55_05  xgb [0],487,481,481,477,4,4,0.831600832,0.831600832,463,18,18,3.742203742,3.742203742
11rd3,Light-U-Net_55_1  xgb [2],158,158,158,195,-37,37,-23.41772152,23.41772152,182,-24,24,-15.18987342,15.18987342
11rl1,U-Net_55_05  xgb [0],473,468,468,448,20,20,4.273504274,4.273504274,436,32,32,6.837606838,6.837606838
11rl3,Light-U-Net_55_1  xgb [2],267,265,265,267,-2,2,-0.754716981,0.754716981,250,15,15,5.660377358,5.660377358
11rr1,U-Net_55_05  xgb [1],377,377,377,333,44,44,11.67108753,11.67108753,328,49,49,12.99734748,12.99734748
11rr2,U-Net_55_05  xgb [1],373,368,367,363,4,4,1.089918256,1.089918256,357,10,10,2.72479564,2.72479564
11ru1,U-Net_55_05  xgb [1],375,374,374,378,-4,4,-1.069518717,1.069518717,369,5,5,1.336898396,1.336898396
11ru2,U-Net_55_05  xgb [0],420,415,415,388,27,27,6.506024096,6.506024096,376,39,39,9.397590361,9.397590361
11ru3,U-Net_55_05  xgb [1],366,360,360,380,-20,20,-5.555555556,5.555555556,367,-7,7,-1.944444444,1.944444444
12ld2,U-Net_55_05  xgb [0],413,409,409,440,-31,31,-7.579462103,7.579462103,424,-15,15,-3.667481663,3.667481663
12ll1,U-Net_55_05  xgb [0],445,445,445,430,15,15,3.370786517,3.370786517,422,23,23,5.168539326,5.168539326
12ll2,U-Net_55_05  xgb [0],506,500,500,459,41,41,8.2,8.2,438,62,62,12.4,12.4
12lr1,U-Net_55_05  xgb [1],328,326,326,349,-23,23,-7.055214724,7.055214724,338,-12,12,-3.680981595,3.680981595
12lr2,Light-U-Net_55_1  xgb [2],258,257,257,259,-2,2,-0.778210117,0.778210117,247,10,10,3.891050584,3.891050584
12lr3,Light-U-Net_55_1  xgb [2],147,144,144,170,-26,26,-18.05555556,18.05555556,155,-11,11,-7.638888889,7.638888889
12lu1,U-Net_55_05  xgb [0],545,543,543,496,47,47,8.655616943,8.655616943,479,64,64,11.78637201,11.78637201
12lu3,Light-U-Net_55_1  xgb [2],129,129,129,136,-7,7,-5.426356589,5.426356589,134,-5,5,-3.875968992,3.875968992
12rl2,U-Net_55_05  xgb [0],403,401,401,406,-5,5,-1.246882793,1.246882793,395,6,6,1.496259352,1.496259352
12rr1,U-Net_55_05  xgb [1],382,381,381,408,-27,27,-7.086614173,7.086614173,394,-13,13,-3.412073491,3.412073491
12rr2,U-Net_55_05  xgb [1],401,398,398,409,-11,11,-2.763819095,2.763819095,398,0,0,0,0
12rr3,U-Net_55_05  xgb [1],329,329,329,345,-16,16,-4.863221884,4.863221884,337,-8,8,-2.431610942,2.431610942
12ru2,U-Net_55_05  xgb [1],338,340,340,352,-12,12,-3.529411765,3.529411765,337,3,3,0.882352941,0.882352941
12ru3,Light-U-Net_55_1  xgb [2],182,181,181,202,-21,21,-11.60220994,11.60220994,190,-9,9,-4.972375691,4.972375691
13ld3,Light-U-Net_55_1  xgb [2],228,228,228,216,12,12,5.263157895,5.263157895,211,17,17,7.456140351,7.456140351
